№,Название,Авторы,Журнал,Выпуск,Дата публикации,Ссылка
129,(When) should psychology be ascience?,Dario Krpan,Journal for the Theory of Social Behaviour,"Volume 52, Issue 1",First published:21 July 2021,https://onlinelibrary.wiley.com/doi/10.1111/jtsb.12316
130,ScienceAcross Cultures,Carlos Hiroo Saito,N/A,N/A,First published:22 April 2020,https://onlinelibrary.wiley.com/doi/10.1002/9781405165518.wbeoss039.pub2
131,Scienceand Technology,Katy Price,N/A,N/A,First published:28 March 2014,https://onlinelibrary.wiley.com/doi/10.1002/9781118604427.ch6
132,"Medical students' attitudes towardsscienceand gross anatomy, and the relationship to personality","Odile Plaisant, Shiby Stephens, Nihal Apaydin, Robert Courtois, Baptiste Lignier, Marios Loukas, Bernard Moxham",Journal of Anatomy,"Volume 224, Issue 3",First published:18 April 2013,https://onlinelibrary.wiley.com/doi/10.1111/joa.12043
133,Introducing undergraduate students toscience,"Paulo De Ávila, Bayardo B. Torres",Biochemistry and Molecular Biology Education,"Volume 38, Issue 2",First published:12 March 2010,https://onlinelibrary.wiley.com/doi/10.1002/bmb.20335
134,"Sciencewriters, male",Daniel Bivona,N/A,N/A,First published:14 August 2015,https://onlinelibrary.wiley.com/doi/10.1002/9781118405376.wbevl290
135,Analysis of Religious Bias among Christian Students inScience,"Paula A. G. Soneral, Sara E. Brownell, M. Elizabeth Barnes",Journal for the Scientific Study of Religion,"Volume 62, Issue 1",First published:02 February 2023,https://onlinelibrary.wiley.com/doi/10.1111/jssr.12825
136,Science,,N/A,N/A,First published:20 December 2013,https://onlinelibrary.wiley.com/doi/10.1002/9781118650158.ch11
137,"Science, Byzantine",Maria Mavroudi,N/A,N/A,First published:26 October 2012,https://onlinelibrary.wiley.com/doi/10.1002/9781444338386.wbeah03209
138,"Engineering Design-BasedScience,ScienceContent Performance, andScienceAttitudes in Elementary School","Kristen Bethke Wendell, Chris Rogers",Journal of Engineering Education,"Volume 102, Issue 4",First published:27 November 2013,https://onlinelibrary.wiley.com/doi/10.1002/jee.20026
139,Creating engineering design integratedscienceunits and lessons,"Frackson Mumba, Jennie Chiu, Reid Bailey",SchoolScienceand Mathematics,Early View,First published:27 February 2025,https://onlinelibrary.wiley.com/doi/10.1111/ssm.18346
140,Perspectives onScience,,N/A,N/A,First published:24 April 2015,https://onlinelibrary.wiley.com/doi/10.1002/9781118840108.ch2
141,ScientistsNegotiate Boundaries Between Religion andScience,"Elaine Howard Ecklund, Jerry Z. Park, Katherine L. Sorrell",Journal for the Scientific Study of Religion,"Volume 50, Issue 3",First published:September 2011,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-5906.2011.01586.x
142,Rhetoric andscience,Alain G. Bernard,N/A,N/A,First published:26 October 2012,https://onlinelibrary.wiley.com/doi/10.1002/9781444338386.wbeah21284
143,Scienceand Technology for Economic Growth. New Insights from when the Data Contradicts Desktop Models,Adrian S. Petrescu,Review of Policy Research,"Volume 26, Issue 6",First published:30 November 2009,https://onlinelibrary.wiley.com/doi/10.1111/j.1541-1338.2009.00420.x
144,Scienceand Information Technoloav,Jon Agar,N/A,N/A,First published:01 January 2003,https://onlinelibrary.wiley.com/doi/10.1002/9780470758328.ch18
145,Objectivity inScience,James A. Anderson,N/A,N/A,First published:05 June 2008,https://onlinelibrary.wiley.com/doi/10.1002/9781405186407.wbieco002
146,CREATIVITY INSCIENCE,Ursula W. Goodenough,Zygon®,"Volume 28, Issue 3",First published:September 1993,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9744.1993.tb01043.x
147,"The Obvious in a Nutshell:Science, Medicine, Knowledge, and History","Fabio De Sio, Heiner Fangerau",Berichte zur Wissenschaftsgeschichte,"Volume 42, Issue 2-3",First published:07 August 2019,https://onlinelibrary.wiley.com/doi/10.1002/bewi.201900001
148,Set-shifting ability is specifically linked to high-schoolscienceand math achievement in Chinese adolescents,"Jingguang Li, Yajun Zhao, Shan Zhou, Yuling Pu, Hongyu He, Ming Zhao",PsyCh Journal,"Volume 9, Issue 3",First published:16 January 2020,https://onlinelibrary.wiley.com/doi/10.1002/pchj.328
149,Toward narrowing the gap betweensciencecommunication andscienceeducation disciplines,"Zehavit Kohen, Yehudit J. Dori",Review of Education,"Volume 7, Issue 3",First published:09 November 2018,https://onlinelibrary.wiley.com/doi/10.1002/rev3.3136
150,"Science, Pseudo-Science, and Conspiracy Theories",,N/A,N/A,First published:30 August 2016,https://onlinelibrary.wiley.com/doi/10.1002/9781119161684.ch4
151,Managing value-laden judgements in regulatoryscienceand risk assessment,Kevin C Elliott,EFSA Journal,"Volume 17, Issue S1",First published:08 July 2019,https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2019.e170709
152,Challenging Merton's Protestantism-ScienceHypothesis: The Historical Impact of Sacerdotal Celibacy on GermanScienceand Scholarship,George Becker,Journal for the Scientific Study of Religion,"Volume 50, Issue 2",First published:03 June 2011,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-5906.2011.01572.x
153,Religion andScience,Douglas Bafford,N/A,N/A,First published:05 September 2018,https://onlinelibrary.wiley.com/doi/10.1002/9781118924396.wbiea1812
154,ZIONISM AND THE EROS OFSCIENCEAND TECHNOLOGY,Noah Efron,Zygon®,"Volume 46, Issue 2",First published:09 May 2011,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9744.2010.01192.x
155,Assessing Elementary Teachers' Content Knowledge for TeachingSciencefor theETS® Educator Series: Pilot Results,"Jamie N. Mikeska, Christopher Kurzum, Jonathan H. Steinberg, Jun Xu",ETS Research Report Series,"Volume 2018, Issue 1",First published:01 June 2018,https://onlinelibrary.wiley.com/doi/10.1002/ets2.12207
156,Poetry andScience,Clark Lawlor,N/A,N/A,First published:01 January 2006,https://onlinelibrary.wiley.com/doi/10.1002/9780470996638.ch4
157,Authenticsciencewith citizenscienceand student-drivensciencefair projects,"Michele Hollingsworth Koomen, Elizabeth Rodriguez, Alissa Hoffman, Cindy Petersen, Karen Oberhauser",ScienceEducation,"Volume 102, Issue 3",First published:15 February 2018,https://onlinelibrary.wiley.com/doi/10.1002/sce.21335
158,Scienceand Poetry,Mark Lussier,N/A,N/A,First published:12 April 2012,https://onlinelibrary.wiley.com/doi/10.1002/9781118300916.wberls005
159,TheScienceof Philosophy,Colin McGinn,Metaphilosophy,"Volume 46, Issue 1",First published:09 January 2015,https://onlinelibrary.wiley.com/doi/10.1111/meta.12116
160,Some Practical Suggestions for TeachingSciencein the Liberal Arts,Robert Pollack,Annals of the New York Academy ofSciences,"Volume 935, Issue 1",First published:25 January 2006,https://onlinelibrary.wiley.com/doi/10.1111/j.1749-6632.2001.tb03488.x
161,ScientistsNegotiate Boundaries Between Religion andScience,"Elaine Howard Ecklund, Jerry Z. Park, Katherine L. Sorrell",Journal for the Scientific Study of Religion,"Volume 50, Issue 3",First published:September 2011,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-5906.2011.01586.x
162,Rhetoric andscience,Alain G. Bernard,N/A,N/A,First published:26 October 2012,https://onlinelibrary.wiley.com/doi/10.1002/9781444338386.wbeah21284
163,Scienceand Technology for Economic Growth. New Insights from when the Data Contradicts Desktop Models,Adrian S. Petrescu,Review of Policy Research,"Volume 26, Issue 6",First published:30 November 2009,https://onlinelibrary.wiley.com/doi/10.1111/j.1541-1338.2009.00420.x
164,Scienceand Information Technoloav,Jon Agar,N/A,N/A,First published:01 January 2003,https://onlinelibrary.wiley.com/doi/10.1002/9780470758328.ch18
165,Objectivity inScience,James A. Anderson,N/A,N/A,First published:05 June 2008,https://onlinelibrary.wiley.com/doi/10.1002/9781405186407.wbieco002
166,CREATIVITY INSCIENCE,Ursula W. Goodenough,Zygon®,"Volume 28, Issue 3",First published:September 1993,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9744.1993.tb01043.x
167,"The Obvious in a Nutshell:Science, Medicine, Knowledge, and History","Fabio De Sio, Heiner Fangerau",Berichte zur Wissenschaftsgeschichte,"Volume 42, Issue 2-3",First published:07 August 2019,https://onlinelibrary.wiley.com/doi/10.1002/bewi.201900001
168,Set-shifting ability is specifically linked to high-schoolscienceand math achievement in Chinese adolescents,"Jingguang Li, Yajun Zhao, Shan Zhou, Yuling Pu, Hongyu He, Ming Zhao",PsyCh Journal,"Volume 9, Issue 3",First published:16 January 2020,https://onlinelibrary.wiley.com/doi/10.1002/pchj.328
169,Toward narrowing the gap betweensciencecommunication andscienceeducation disciplines,"Zehavit Kohen, Yehudit J. Dori",Review of Education,"Volume 7, Issue 3",First published:09 November 2018,https://onlinelibrary.wiley.com/doi/10.1002/rev3.3136
170,"Science, Pseudo-Science, and Conspiracy Theories",,N/A,N/A,First published:30 August 2016,https://onlinelibrary.wiley.com/doi/10.1002/9781119161684.ch4
171,Managing value-laden judgements in regulatoryscienceand risk assessment,Kevin C Elliott,EFSA Journal,"Volume 17, Issue S1",First published:08 July 2019,https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2019.e170709
172,Challenging Merton's Protestantism-ScienceHypothesis: The Historical Impact of Sacerdotal Celibacy on GermanScienceand Scholarship,George Becker,Journal for the Scientific Study of Religion,"Volume 50, Issue 2",First published:03 June 2011,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-5906.2011.01572.x
173,Religion andScience,Douglas Bafford,N/A,N/A,First published:05 September 2018,https://onlinelibrary.wiley.com/doi/10.1002/9781118924396.wbiea1812
174,ZIONISM AND THE EROS OFSCIENCEAND TECHNOLOGY,Noah Efron,Zygon®,"Volume 46, Issue 2",First published:09 May 2011,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9744.2010.01192.x
175,Assessing Elementary Teachers' Content Knowledge for TeachingSciencefor theETS® Educator Series: Pilot Results,"Jamie N. Mikeska, Christopher Kurzum, Jonathan H. Steinberg, Jun Xu",ETS Research Report Series,"Volume 2018, Issue 1",First published:01 June 2018,https://onlinelibrary.wiley.com/doi/10.1002/ets2.12207
176,Poetry andScience,Clark Lawlor,N/A,N/A,First published:01 January 2006,https://onlinelibrary.wiley.com/doi/10.1002/9780470996638.ch4
177,Authenticsciencewith citizenscienceand student-drivensciencefair projects,"Michele Hollingsworth Koomen, Elizabeth Rodriguez, Alissa Hoffman, Cindy Petersen, Karen Oberhauser",ScienceEducation,"Volume 102, Issue 3",First published:15 February 2018,https://onlinelibrary.wiley.com/doi/10.1002/sce.21335
178,Scienceand Poetry,Mark Lussier,N/A,N/A,First published:12 April 2012,https://onlinelibrary.wiley.com/doi/10.1002/9781118300916.wberls005
179,TheScienceof Philosophy,Colin McGinn,Metaphilosophy,"Volume 46, Issue 1",First published:09 January 2015,https://onlinelibrary.wiley.com/doi/10.1111/meta.12116
180,Some Practical Suggestions for TeachingSciencein the Liberal Arts,Robert Pollack,Annals of the New York Academy ofSciences,"Volume 935, Issue 1",First published:25 January 2006,https://onlinelibrary.wiley.com/doi/10.1111/j.1749-6632.2001.tb03488.x
181,Some Practical Suggestions for TeachingSciencein the Liberal Arts,Robert Pollack,Annals of the New York Academy ofSciences,"Volume 935, Issue 1",First published:25 January 2006,https://onlinelibrary.wiley.com/doi/10.1111/j.1749-6632.2001.tb03488.x
182,Executive functions predict conceptual learning ofscience,"Sinéad M. Rhodes, Josephine N. Booth, Lorna Elise Palmer, Richard A. Blythe, Mirela Delibegovic, Nial J. Wheate",British Journal of Developmental Psychology,"Volume 34, Issue 2",First published:11 January 2016,https://onlinelibrary.wiley.com/doi/10.1111/bjdp.12129
183,"Slowscience, the geographical expedition, and Critical Physical Geography",Stuart N. Lane,The Canadian Geographer / Le Géographe canadien,"Volume 61, Issue 1",First published:02 December 2016,https://onlinelibrary.wiley.com/doi/10.1111/cag.12329
184,Media Use in theScienceClassroom,Garry Hoban,N/A,N/A,First published:09 May 2019,https://onlinelibrary.wiley.com/doi/10.1002/9781118978238.ieml0134
185,Cultures ofScience,David N. Livingstone,N/A,N/A,First published:01 January 2004,https://onlinelibrary.wiley.com/doi/10.1002/9780470996515.ch10
186,The effects of collaborative teamwork on secondaryscience,C.H. Chiu,Journal of Computer Assisted Learning,"Volume 18, Issue 3",First published:11 December 2002,https://onlinelibrary.wiley.com/doi/10.1046/j.0266-4909.2002.00238.x
187,A conceptual framework for understanding the perspectives on the causes of thescience–practice gap in ecology and conservation,"Diana Bertuol-Garcia, Carla Morsello, Charbel N. El-Hani, Renata Pardini",Biological Reviews,"Volume 93, Issue 2",First published:20 November 2017,https://onlinelibrary.wiley.com/doi/10.1111/brv.12385
188,Digital Humanities and InformationScience: Making A Difference?,"Wayne de Fremery, Javed Mostafa, Diane M. Rasmussen Pennington, Ana Lúcia Terra, Javier Cha, Sam Oh",Proceedings of the Association for InformationScienceand Technology,"Volume 60, Issue 1",First published:22 October 2023,https://onlinelibrary.wiley.com/doi/10.1002/pra2.856
189,Thesciencependulum: From programmatic to incremental—and back?,Margaret M. Bradley,Psychophysiology,"Volume 54, Issue 1",First published:20 December 2016,https://onlinelibrary.wiley.com/doi/10.1111/psyp.12608
190,Software tools inscienceclassrooms,R. Beare,Journal of Computer Assisted Learning,"Volume 8, Issue 4",First published:December 1992,https://onlinelibrary.wiley.com/doi/10.1111/j.1365-2729.1992.tb00407.x
191,A framework forscienceclassroom assessment task design for emergent bilingual learners,"Caitlin G. McC. Fine, Erin M. Furtak",ScienceEducation,"Volume 104, Issue 3",First published:29 January 2020,https://onlinelibrary.wiley.com/doi/10.1002/sce.21565
192,Epistemological and Moral Conflict Between Religion andScience,John H. Evans,Journal for the Scientific Study of Religion,"Volume 50, Issue 4",First published:December 2011,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-5906.2011.01603.x
193,Introduction to Cognition inScienceand Technology,Michael E. Gorman,Topics in CognitiveScience,"Volume 1, Issue 4",First published:12 October 2009,https://onlinelibrary.wiley.com/doi/10.1111/j.1756-8765.2009.01034.x
194,Does thesciencecriterion rest on thin ice?,Peder Roberts,The Geographical Journal,"Volume 189, Issue 1",First published:18 November 2020,https://onlinelibrary.wiley.com/doi/10.1111/geoj.12367
195,Ethics andscience,C. West Churchman,Systems Research,"Volume 12, Issue 4",First published:1995,https://onlinelibrary.wiley.com/doi/10.1002/sres.3850120406
196,Scienceand Religion,Andrew Paul Davison,N/A,N/A,First published:16 November 2021,https://onlinelibrary.wiley.com/doi/10.1002/9781119009924.eopr0360
197,Threatening Morality: Religious and Political Opposition toSciencein the United States,"Timothy L. O'Brien, Shiri Noy",Journal for the Scientific Study of Religion,"Volume 60, Issue 3",First published:27 May 2021,https://onlinelibrary.wiley.com/doi/10.1111/jssr.12731
198,Scienceand the Measurement of Risk,Rob Beamish,N/A,N/A,First published:19 February 2025,https://onlinelibrary.wiley.com/doi/10.1002/9781405165518.wbeoss041.pub3
199,Changes in primary boys' and girls' attitudes to school andscienceduring a two-yearsciencein-service programme,"Tina Jarvis, Anthony Pell",The Curriculum Journal,"Volume 13, Issue 1",First published:21 October 2010,https://onlinelibrary.wiley.com/doi/10.1080/09585170110115268
200,RECONNECTINGSCIENCEAND SPIRITUALITY: TOWARD OVERCOMING A TABOO,"Harald Walach, K. Helmut Reich",Zygon®,"Volume 40, Issue 2",First published:23 May 2005,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9744.2005.00673.x
201,Some Practical Suggestions for TeachingSciencein the Liberal Arts,Robert Pollack,Annals of the New York Academy ofSciences,"Volume 935, Issue 1",First published:25 January 2006,https://onlinelibrary.wiley.com/doi/10.1111/j.1749-6632.2001.tb03488.x
202,Executive functions predict conceptual learning ofscience,"Sinéad M. Rhodes, Josephine N. Booth, Lorna Elise Palmer, Richard A. Blythe, Mirela Delibegovic, Nial J. Wheate",British Journal of Developmental Psychology,"Volume 34, Issue 2",First published:11 January 2016,https://onlinelibrary.wiley.com/doi/10.1111/bjdp.12129
203,"Slowscience, the geographical expedition, and Critical Physical Geography",Stuart N. Lane,The Canadian Geographer / Le Géographe canadien,"Volume 61, Issue 1",First published:02 December 2016,https://onlinelibrary.wiley.com/doi/10.1111/cag.12329
204,Media Use in theScienceClassroom,Garry Hoban,N/A,N/A,First published:09 May 2019,https://onlinelibrary.wiley.com/doi/10.1002/9781118978238.ieml0134
205,Cultures ofScience,David N. Livingstone,N/A,N/A,First published:01 January 2004,https://onlinelibrary.wiley.com/doi/10.1002/9780470996515.ch10
